dh_1 0.1 0.012432191312752222
ddh_2 0.1 0.00014403737512963533
  
dh_1 0.01 0.0012431405333711842
ddh_2 0.01 1.4407242978631274e-06
  
dh_1 0.001 0.00012430687180645106
ddh_2 0.001 1.4424386352018814e-08
  
dh_1 0.0001 1.2430608580721314e-05
ddh_2 0.0001 3.238889378920362e-09
  
dh_1 1e-05 1.2430596379175984e-06
ddh_2 1e-05 2.0051038170099122e-07
  
dh_1 1e-06 1.2426014042721256e-07
ddh_2 1e-06 3.373709161824667e-05
  
dh_1 1e-07 1.268272645238433e-08
ddh_2 1e-07 0.0017835954443406105
  
dh_1 1e-08 9.533296360664245e-09
ddh_2 1e-08 0.24861200366969283
  
dh_1 1e-09 3.172619453262193e-08
ddh_2 1e-09 28.0041876192986
  
dh_1 1e-10 2.5377079945765324e-07
ddh_2 1e-10 2775.8061735665606
  
dh_1 1e-11 9.415086809363982e-06
ddh_2 1e-11 277556.0047682928
  
dh_1 1e-12 2.8297934145271597e-05
ddh_2 1e-12 27755575.864240922
  
dh_1 1e-13 0.000617649991249497
ddh_2 1e-13 2775557561.811503
  
dh_1 1e-14 0.007860592551123244
ddh_2 1e-14 277555756156.5377
  
dh_1 1e-15 0.08418842549410273
ddh_2 1e-15 13877787807814.404
  
